#SampleID	TemplateType	Genotype	Gender	AgeAtCollect	Housing
11840X106	Fecal	VilCre	Male	8mos	Cohoused
11840X107	Fecal	VilCre	Male	8mos	Cohoused
11840X108	Fecal	WT	Male	8mos	Cohoused
11840X109	Fecal	WT	Male	8mos	Cohoused
11840X110	Fecal	VilCre	Male	8mos	Cohoused
11840X112	Fecal	VilCre	Male	8mos	Cohoused
11840X114	Fecal	VilCre	Male	8mos	Cohoused
11840X116	Fecal	WT	Male	8mos	Cohoused
11840X117	Fecal	VilCre	Male	8mos	Cohoused
11840X118	Fecal	WT	Male	8mos	Cohoused
11840X119	Fecal	VilCre	Male	8mos	Cohoused
11840X26	Fecal	VilCre	Male	16weeks	SepHoused
11840X27	Fecal	VilCre	Female	16weeks	SepHoused
11840X28	Fecal	VilCre	Male	16weeks	SepHoused
11840X29	Fecal	VilCre	Female	16weeks	SepHoused
11840X30	Fecal	VilCre	Female	16weeks	SepHoused
11840X31	Fecal	VilCre	Male	16weeks	SepHoused
11840X32	Fecal	VilCre	Female	16weeks	SepHoused
11840X33	Fecal	WT	Male	16weeks	SepHoused
11840X34	Fecal	WT	Male	16weeks	SepHoused
11840X35	Fecal	WT	Female	16weeks	SepHoused
11840X36	Fecal	WT	Female	16weeks	SepHoused
11840X37	Fecal	WT	Female	16weeks	SepHoused
11840X38	Fecal	WT	Female	16weeks	SepHoused
11840X50	Fecal	WT	Male	16weeks	SepHoused
